Part No,Name,Typeof,Width,Height,Depth,Weight,Level,Loadbear,Updown,Color,Rotation
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
dc32,dyson,cube,5,5,50,1,1,100,TRUE,#FFBF00,TRUE
dc32,dyson,cube,5,50,5,1,1,100,TRUE,#CCCCFF,TRUE
